Part_No,Description,Category,Vendor_No,Available,On_Hand,Current_Cost,Volume_(inch^3),Length_(UDF),Width_(UDF),Height_(UDF),Weight_(UDF),Product_Code,Pallet_Quantity_(Incoming_Max)_(UDF),Pallet_Length_(inches)_(UDF),Pallet_Width_(inches)_(UDF)
111MedPol009R,Med. Pile Polycarbonate 9Mat 40x40,Polycarbonate Chair Mat,MANU123,0,0,39.597,840.5,41,41,0.5,6,MATS,100,62,50
111MedPol9RBL,Med.Pile Poly 9Mat 40x40 Blue,Polycarbonate Chair Mat,MANU123,13,13,36.6812,840.5,41,41,0.5,6,MATS,100,62,50
111MedPol09RC,Med.Pile Poly 9Mat 40x40 Cerise,Polycarbonate Chair Mat,MANU123,0,0,38.62101,840.5,41,41,0.5,6,MATS,100,62,50
111MedPol23LR,Med. Pile Polycarbonate 48x53 w/lip,Polycarbonate Chair Mat,MANU123,3,3,51.4158,1347.5,47,12,12,11,MATS,100,62,48
111AllPol23ER,All Carpet Polycarbonate 60'x60',Polycarbonate Chair Mat,MANU123,2,2,88.641,14400,60,14,14,17,MATS,15,62,50
111MedPol23ER,Med Pile Polycarbonate 48'x60' Rect,Polycarbonate Chair Mat,MANU123,100,103,47.5968,1550,47,12,12,14,MATS,100,62,50
111LowPVC25EV,Low Pile PVC 48 x 60 Rect.,PVC Chair Mat,MANU123,0,0,25.6208,1550,47,12,12,16,MATS,100,62,50
111DeePol27ER,Deep Pile Polycarbonate 48''x60'' Rec,Polycarbonate Chair Mat,MANU123,4,4,74.571,1550,47,12,12,16,MATS,24,62,50
111DeePol27LR,"Deep Pile Polycarbonate 48""x60"" w/lip",Polycarbonate Chair Mat,MANU123,6,6,70.70447,1550,47,12,12,15,MATS,24,62,50
112MedPol23ER,Med. Pile Polycarbonate 48'x79' Rec,Polycarbonate Chair Mat,MANU123,4,4,82.7048,1437.75,48,12,12,19,MATS,100,62,50
113AllPol23ER,All Carpet Polycarbonate 48'x118',Polycarbonate Chair Mat,MANU123,0,0,103.7944,11250,50,15,15,25,MATS,12,62,50
113LowPVC25LV,Low Pile PVC 45 x 53 w/lip,PVC Chair Mat,MANU123,0,0,21.9492,1347.5,47,12,12,11.7,MATS,100,62,50
113BlPVCLLBV," Black PVC Chair Mat for Low Pile Carpets 1/4"" or less Lipped",PVC Chair Mat,MANU123,1,1,23.3964,925,36,6,6,7,MATS,100,62,50
114BlPVCLLBV," Black PVC Chair Mat for Low Pile Carpets 1/4"" or less Lipped",PVC Chair Mat,MANU123,5,5,31.49,1372,47,8,8,11,MATS,100,62,50
114BlPVCLEBV," Black PVC Chair Mat for Low Pile Carpets 1/4"" or less Rectangular",PVC Chair Mat,MANU123,17,17,36.9438,1550,47,8,8,13,MATS,100,62,50
118MedPol23ER,Med Pile Polycarbonate 47'x35' Rect,Polycarbonate Chair Mat,MANU123,52,52,27.98336,925,36,9,9,9.8,MATS,100,62,50
118DeePol27ER,Deep Pile Polycarbonate 47x35 Rect.,Polycarbonate Chair Mat,MANU123,4,5,44.56748,925,36,9,9,9.8,MATS,100,62,50
119LowPVC25EV,Low Pile PVC 36 x 48 Rectangle,PVC Chair Mat,MANU123,1,1,27.872,925,36,9,9,8,MATS,100,62,50
119LowPVC25LV,Low Pile PVC 36 x 48 w/lip,PVC Chair Mat,MANU123,7,13,14.69654,925,36,9,9,8,MATS,100,62,50
119MedPol23SR,Med Pile Polycarbonate 39x49Contour,Polycarbonate Chair Mat,MANU123,1,1,43.9386,925,50,37,0.5,9,MATS,100,62,50
121HFPol009R,HF Polycarbonate 9Mat 40'x40',Polycarbonate Chair Mat,MANU123,1,1,28.71,840.5,41,41,0.5,5,MATS,100,62,50
121HFPol9RBL,HF Polycarbonate 9Mat 40x40 Blue,Polycarbonate Chair Mat,MANU123,0,0,25.9806,840.5,41,41,0.5,5,MATS,100,62,50
121HFPol09RC,HF Polycarbonate 9Mat 40x40 Cherry,Polycarbonate Chair Mat,MANU123,0,0,28.46206,840.5,41,41,0.5,5,MATS,100,62,50
121HFPol0ERA,HF Polycarbonate 48x53 Rect AntiSlp,Polycarbonate Chair Mat,MANU123,3,3,45.8568,1372,48,8,8,11,MATS,100,62,50
121HFPol19ER,HF Polycarbonate 60x60,Polycarbonate Chair Mat,MANU123,9,10,66.9866,14400,60,14,14,13,MATS,15,62,50
121HarPol19ER,Hard Floor Polycarbonate 60x79 Rect,Polycarbonate Chair Mat,MANU123,6,6,81.3916,13456,60,14,14,17,MATS,15,62,50
121HarPVC20EV,Hard Floor PVC 46' x 60' Rectangle,PVC Chair Mat,MANU123,75,76,17.00645,1550,46,6,6,13,MATS,100,62,50
121HarPVC20LV,Hard Floor PVC 46' x 60' w/lip,PVC Chair Mat,MANU123,0,0,23.8506,1550,62,50,0.5,12.5,MATS,100,62,50
122PolPol19ER,Polycarbonate 48'x79' HF,Polycarbonate Chair Mat,MANU123,3,3,55.1276,1437.75,47,12,12,17,MATS,15,62,50
123HarPol19ER,Hard Floor Polycarbonate 48x118 Rec,Polycarbonate Chair Mat,MANU123,2,2,91.79,7056,49,12,12,18,MATS,15,52,48
123HarPVC20LV,Hard Floor PVC 45' x 53' w/lip,PVC Chair Mat,MANU123,0,1,14.37295,1372,46,6,6,10,MATS,100,62,50
123TeTem48EG," Tempered Glass Chairmat 36"" x 48""",Tempered Glass Chair Mat,MANU123,10,10,91.6962,3868.8,52,40,1.86,40,MATS,25,62,50
123BlPVCHLBV, Black PVC Chair Mat for Hard Floor Surfaces Lipped,PVC Chair Mat,MANU123,122,122,13.55948,925,36,4,4,7,MATS,100,62,50
124StuPVC0PBV,Student Chairmat 40x40 HF Blue,PVC Chair Mat,MANU123,0,0,22.11,840.5,41,41,0.5,6,MATS,100,62,50
124StuPVC0PRV,Student Chairmat 40x40 HF Red,PVC Chair Mat,MANU123,0,0,22.11,840.5,41,41,0.5,6,MATS,100,62,50
124TeTem53EG," Tempered Glass Chairmat 40"" x 53""",Tempered Glass Chair Mat,MANU123,4,4,110.7912,4746.72,58,44,1.86,44,MATS,25,62,50
124BlPVCHLBV, Black PVC Chair Mat for Hard Floor Surfaces Lipped,PVC Chair Mat,MANU123,5,5,32.5352,1372,47,8,8,10,MATS,100,60,50
124BlPVCHEBV, Black PVC Chair Mat for Hard Floor Surfaces Rectangular,PVC Chair Mat,MANU123,129,129,23.1696,1550,47,6,6,13,MATS,100,62,50
128HarPol19ER,Hard Floor Polycarbonate 47x35 Rect,Polycarbonate Chair Mat,MANU123,9,12,30.0696,925,36,6,6,7,MATS,100,62,50
128HarPol0ERA,Hard Floor Anti Slip Poly 47x35 Rec,Polycarbonate Chair Mat,MANU123,11,12,30.34813,925,50,37,0.5,7,MATS,100,62,50
129HaPVC17EV," Hard Floor PVC 36""x48""",PVC Chair Mat,MANU123,0,0,11.68,925,,,,,MATS,0,0,0
129HarPVC20LV,Hard Floor PVC 36' x 48' w/lip,PVC Chair Mat,MANU123,250,252,12.90777,925,36,4,4,7,MATS,100,62,50
129HPVC25EV,"  Hard Floor PVC 36""x48""",PVC Chair Mat,MANU123,55,55,11.80827,925,36,4,4,7,MATS,100,62,50
311AntPVC26EV,Anti Static Chairmat 46x60 Rect.,PVC Chair Mat,MANU123,0,0,40.95946,1550,47,12,12,17.5,MATS,100,62,50
313AntPVC26LV,Anti Static Chairmat 45'x53' w/lip,PVC Chair Mat,MANU123,0,0,33.7546,1372,47,12,12,14,MATS,100,62,50
319AntPVC26LV,Anti Static Chairmat 36'x48' w/lip,PVC Chair Mat,MANU123,4,4,16.30067,925,36,8,8,10,MATS,100,62,50
ECORecRec48EP,Recycled 36'x48' Low Pile Rectangle,Recycled Chair Mat,MANU123,270,270,24.60556,925,36,9,9,8,MATS,100,62,50
ECORecRec48LP,Recycled 36'x48' Low Pile w/lip,Recycled Chair Mat,MANU123,9,9,29.95915,925,50,37,0.5,7,MATS,100,62,50
ECORecRec51EP,Recycled 48'x51' Low Pile Rectangle,Recycled Chair Mat,MANU123,142,142,36.39363,1372,47,12,12,10,MATS,100,62,50
ECORecRec51LP,Recycled 48'x51' Low Pile w/lip,Recycled Chair Mat,MANU123,9,9,36.39952,1372,48,12,12,10,MATS,100,62,50
ECORecRec60EP,Recycled 48'x60' Low Pile Rectangle,Recycled Chair Mat,MANU123,220,220,40.17655,1550,47,12,12,14,MATS,100,62,50
ECOEvRec48EP,Evolutionmat HF 36'x48',Recycled Chair Mat,MANU123,55,59,18.8538,925,50,37,0.5,7,MATS,100,62,50
ECOEvRec51EP,Evolutionmat HF 48'x51',Recycled Chair Mat,MANU123,98,98,35.5368,1372,47,8,8,7.2,MATS,100,62,50
ECOEvRec60EP,Evolutionmat HF 48'x60',Recycled Chair Mat,MANU123,0,0,31.89638,1550,47,12,12,12,MATS,100,62,50
FBDBlDes36BV," Black Phthalate-Free PVC Desk Pad 20""x36""",Desk Pad,MANU123,65,90,7.7988,22,36,20,0.03,1.3,DESK,1000,62,50
FBDCrDes36CV," Crystal Clear Phthalate-Free PVC Desk Pad 20""x36""",Desk Pad,MANU123,0,0,6.90093,22,36,20,0.03,1.3,DESK,1000,62,50
FBDDesDes36RA,Desk Pad 20' x 36' Poly Anti-slip,Desk Pad,MANU123,0,0,14.0164,22,36,20,0.03,1.3,DESK,1000,62,50
FBDAnDes036V,Anti-Static Vinyl Desk Pads 20x36,Desk Pad,MANU123,52,52,8.3884,22,36,20,0.03,1.4,DESK,1000,62,50
FBUMatAnt436B,Mat Anti-Fatigue 24'x36' BLK,Anti-Fatigue Mat,MANU123,0,0,20.98359,1813,37,7,7,18,MATS,50,62,50
FBUMatAnt648B,"Mat Anti-Fatigue 36""x48"" BLK",Anti-Fatigue Mat,MANU123,0,0,26.59175,2432,38,8,8,8,MATS,40,62,50
FBUMatAnt660B,Mat Anti-Fatigue 36'x60' BLK,Anti-Fatigue Mat,MANU123,0,0,27.5082,1813,37,7,7,27,MATS,35,62,50
FCAPoAntA11S,Poly Chrmt Crpt w/Syst5000,Anti-Fatigue Mat,MANU123,0,0,128.372,13689,39,27,13,20,MATS,100,48,40
FCAPoAntA12S,Poly Chrmt HF w/System5000,Anti-Fatigue Mat,MANU123,1,1,88.1408,13689,39,27,13,20,MATS,100,48,40
FCAAFSAnt2PBK,AFS-TEX Active Platform in Midnight Black 20'X32',Anti-Fatigue Mat,MANU123,2,2,39.8112,2278.5,31,21,3.5,4.95,MATS,100,62,50
FCAAnAnt24BK,Antifatigue Mat 16'x24' Black,Anti-Fatigue Mat,MANU123,26,27,23.1016,384,24,16,1,2.6,MATS,100,62,50
FCAAnAnt24GY,Antifatigue Mat 16'x24' Grey,Anti-Fatigue Mat,MANU123,6,6,23.1016,384,24,16,1,2.6,MATS,100,62,50
FCAAntAnt4XBK,Antifatigue Mat 2 - 16' x 24' Black,Anti-Fatigue Mat,MANU123,8,11,21.4266,384,24,16,1,2.6,MATS,100,62,50
FCAAntAnt4XGY,Antifatigue Mat 2 - 16' x 24' Grey,Anti-Fatigue Mat,MANU123,7,8,21.4266,384,24,16,1,2.6,MATS,100,48,40
FCAAnAnt32BK,Antifatigue Mat 20'x32' Black,Anti-Fatigue Mat,MANU123,32,32,29.9356,672,32,21,1,4,MATS,100,62,50
FCAAnAnt32GY,Antifatigue Mat 20'x32' Grey,Anti-Fatigue Mat,MANU123,3,3,29.9356,672,32,21,1,4,MATS,100,62,50
FCAAntAnt2XBK,Antifatigue Mat 2 - 20' x 32'  Black,Anti-Fatigue Mat,MANU123,6,7,28.7832,672,32,21,1,4,MATS,100,62,50
FCAAntAnt2XGY,Antifatigue Mat 2 - 20' x 32'  Grey,Anti-Fatigue Mat,MANU123,2,2,26.8032,672,32,21,1,4,MATS,100,62,50
