PO_Number,Vendor_No,Unit_Price,Order_Date,Received_Date,Qty_Ordered,Qty_Received,Base_Unit_Price,Product_Code,Ordered_Value,Currency,Part_No
700007,MANU456,77.39,2017-11-01,2017-11-14,10,10,77.39,MATS,1740.91,,FNEWiEnt60CH
700004,MANU456,50.58,2017-11-01,2017-11-14,10,10,50.58,MATS,3863.4,,FNEWiEnt36CH
700007,MANU456,59.77,2017-11-01,2017-11-14,3,3,59.77,MATS,1740.91,,FNEWiEnt72CH
700010,MANU123,31.89,2017-11-02,2017-11-07,10,10,41.46,MATS,8107.67,USD,111DeePol27ER
700010,MANU123,38.24,2017-11-02,2017-11-07,10,10,49.71,MATS,8107.67,USD,111LowPVC25EV
700010,MANU123,20.84,2017-11-02,2017-11-07,15,15,27.09,MATS,8107.67,USD,111DeePol27ER
700010,MANU123,44.77,2017-11-02,2017-11-07,5,5,58.2,MATS,8107.67,USD,111DeePol27LR
700010,MANU123,17.87,2017-11-02,2017-11-07,5,5,23.23,MATS,8107.67,USD,114BlPVCLLBV
700010,MANU123,13.21,2017-11-02,2017-11-07,50,50,17.17,MATS,8107.67,USD,121HFPol009R
700010,MANU123,29.62,2017-11-02,2017-11-07,5,5,38.51,MATS,8107.67,USD,121HFPol19ER
700010,MANU123,39.42,2017-11-02,2017-11-07,4,4,51.25,MATS,8107.67,USD,121HarPol19ER
700010,MANU123,49.19,2017-11-02,2017-11-07,4,4,63.95,MATS,8107.67,USD,121HFPol0ERA
700010,MANU123,18.78,2017-11-02,2017-11-07,30,30,24.41,MATS,8107.67,USD,121HarPol19ER
700010,MANU123,37.08,2017-11-02,2017-11-07,1,1,48.2,MATS,8107.67,USD,123HarPol19ER
700010,MANU123,16.2,2017-11-02,2017-11-07,15,15,21.06,MATS,8107.67,USD,123BlPVCHLBV
700010,MANU123,12.23,2017-11-02,2017-11-07,70,70,15.9,MATS,8107.67,USD,311AntPVC26EV
700010,MANU123,23.52,2017-11-02,2017-11-07,10,10,30.58,MATS,8107.67,USD,313AntPVC26LV
700010,MANU123,20.05,2017-11-02,2017-11-07,15,15,26.07,MATS,8107.67,USD,319AntPVC26LV
700010,MANU123,14.98,2017-11-02,2017-11-07,10,10,19.47,MATS,8107.67,USD,FCAAntAnt4XBK
700010,MANU123,14.98,2017-11-02,2017-11-07,5,5,19.47,MATS,8107.67,USD,FCAAnAnt32BK
700010,MANU123,19.4,2017-11-02,2017-11-07,15,15,25.22,MATS,8107.67,USD,FCASyAnt35BK
700010,MANU123,19.4,2017-11-02,2017-11-07,15,15,25.22,MATS,8107.67,USD,FCASyAnt35BK
700010,MANU123,31.35,2017-11-02,2017-11-07,5,5,40.76,MATS,8107.67,USD,FCVFaTem624A
700010,MANU123,19.58,2017-11-02,2017-11-07,15,15,25.45,PRES,8107.67,USD,FDCAdvEnt36CH
700010,MANU123,32.11,2017-11-02,2017-11-07,15,15,41.74,PRES,8107.67,USD,FDCAdvEnt60CH
700010,MANU123,58.14,2017-11-02,2017-11-07,10,10,75.58,PRES,8107.67,USD,FDCAdvEnt72CH
700010,MANU123,9.42,2017-11-02,2017-11-07,10,10,12.25,MATS,8107.67,USD,FPDAntDes22RA
700010,MANU123,3.69,2017-11-02,2017-11-07,60,60,4.8,DESK,8107.67,USD,FPRPreEnt60CH
700010,MANU123,33.38,2017-11-02,2017-11-07,1,1,43.39,MATS,8107.67,USD,FICInAnt660B
700010,MANU123,96.84,2017-11-02,2017-11-07,2,2,125.89,MATS,8107.67,USD,FMTPrEnt432B
700013,MANU456,77.39,2017-11-06,2017-11-27,4,4,77.39,MATS,2911.66,,FNEWiEnt60CH
700013,MANU456,33.08,2017-11-06,2017-11-27,5,5,33.08,MATS,2911.66,,FMTPrEnt672B
700018,MANU123,34.54,2017-11-08,2017-11-16,15,15,44.9,MATS,11017.39,USD,111MedPol23LR
700018,MANU123,31.89,2017-11-08,2017-11-16,10,10,41.46,MATS,11017.39,USD,111DeePol27ER
700018,MANU123,40.38,2017-11-08,2017-11-16,5,5,52.49,MATS,11017.39,USD,111DeePol27LR
700018,MANU123,38.24,2017-11-08,2017-11-16,10,10,49.71,MATS,11017.39,USD,111LowPVC25EV
700018,MANU123,20.84,2017-11-08,2017-11-16,25,25,27.09,MATS,11017.39,USD,111DeePol27ER
700018,MANU123,42.8,2017-11-08,2017-11-16,5,5,55.64,MATS,11017.39,USD,112MedPol23ER
700018,MANU123,17.87,2017-11-08,2017-11-16,10,10,23.23,MATS,11017.39,USD,114BlPVCLLBV
700018,MANU123,24.18,2017-11-08,2017-11-16,10,10,31.43,MATS,11017.39,USD,118DeePol27ER
700018,MANU123,27.65,2017-11-08,2017-11-16,10,10,35.95,MATS,11017.39,USD,119LowPVC25LV
700018,MANU123,13.21,2017-11-08,2017-11-16,25,25,17.17,MATS,11017.39,USD,121HFPol009R
700018,MANU123,29.62,2017-11-08,2017-11-16,10,10,38.51,MATS,11017.39,USD,121HFPol19ER
700018,MANU123,39.42,2017-11-08,2017-11-16,2,2,51.25,MATS,11017.39,USD,121HarPol19ER
700018,MANU123,49.19,2017-11-08,2017-11-16,3,3,63.95,MATS,11017.39,USD,121HFPol0ERA
700018,MANU123,33.07,2017-11-08,2017-11-16,15,15,42.99,MATS,11017.39,USD,121HarPVC20EV
700018,MANU123,18.78,2017-11-08,2017-11-16,20,20,24.41,MATS,11017.39,USD,121HarPol19ER
700018,MANU123,69.25,2017-11-08,2017-11-16,4,4,90.03,MATS,11017.39,USD,121HarPol19ER
700018,MANU123,37.08,2017-11-08,2017-11-16,2,2,48.2,MATS,11017.39,USD,123HarPol19ER
700018,MANU123,16.2,2017-11-08,2017-11-16,15,15,21.06,MATS,11017.39,USD,123BlPVCHLBV
700018,MANU123,21.32,2017-11-08,2017-11-16,5,5,27.72,MATS,11017.39,USD,129HarPVC20LV
700018,MANU123,12.23,2017-11-08,2017-11-16,40,40,15.9,MATS,11017.39,USD,311AntPVC26EV
700018,MANU123,23.52,2017-11-08,2017-11-16,10,10,30.58,MATS,11017.39,USD,313AntPVC26LV
700018,MANU123,20.05,2017-11-08,2017-11-16,10,10,26.07,MATS,11017.39,USD,319AntPVC26LV
700018,MANU123,16.75,2017-11-08,2017-11-16,10,10,21.78,MATS,11017.39,USD,ECORecRec48EP
700018,MANU123,19.68,2017-11-08,2017-11-16,10,10,25.58,MATS,11017.39,USD,ECORecRec51EP
700018,MANU123,27,2017-11-08,2017-11-16,10,10,35.1,MATS,11017.39,USD,ECORecRec60EP
700018,MANU123,30.35,2017-11-08,2017-11-16,15,15,39.46,MATS,11017.39,USD,ECOEvRec51EP
700018,MANU123,14.98,2017-11-08,2017-11-16,15,15,19.47,MATS,11017.39,USD,FCAAntAnt4XBK
700018,MANU123,14.98,2017-11-08,2017-11-16,10,10,19.47,MATS,11017.39,USD,FCAAnAnt32BK
700018,MANU123,19.4,2017-11-08,2017-11-16,10,10,25.22,MATS,11017.39,USD,FCASyAnt35BK
700018,MANU123,19.4,2017-11-08,2017-11-16,5,5,25.22,MATS,11017.39,USD,FCASyAnt35BK
700018,MANU123,31.35,2017-11-08,2017-11-16,10,10,40.76,MATS,11017.39,USD,FCVFaTem624A
700018,MANU123,19.58,2017-11-08,2017-11-16,5,5,25.45,PRES,11017.39,USD,FDCAdvEnt36CH
700020,MANU123,18.32,2017-11-08,2017-11-16,5,5,23.82,MATS,229.55,USD,FPDCrDes24CV
700020,MANU123,27.59,2017-11-08,2017-11-16,5,5,35.87,MATS,229.55,USD,FPD19Des924P
700018,MANU123,3.2,2017-11-08,2017-11-16,30,30,4.16,DESK,11017.39,USD,FPD19Des924P
700018,MANU123,3.69,2017-11-08,2017-11-16,30,30,4.8,DESK,11017.39,USD,FPRPreEnt60CH
700018,MANU123,6.65,2017-11-08,2017-11-16,60,60,8.65,DESK,11017.39,USD,M124Pol25ER
700018,MANU123,96.84,2017-11-08,2017-11-16,3,3,125.89,MATS,11017.39,USD,FMTPrEnt432B
700018,MANU123,61.5,2017-11-08,2017-11-16,2,2,79.95,MATS,11017.39,USD,FMTPrEnt239B
700022,MANU456,70.33,2017-11-08,2017-11-21,10,10,70.33,MATS,1237.6,,FMTPrEnt672B
700029,MANU123,34.54,2017-11-14,2017-11-28,5,5,44.9,MATS,9223.74,USD,111MedPol23LR
700029,MANU123,31.89,2017-11-14,2017-11-28,10,10,41.46,MATS,9223.74,USD,111DeePol27ER
700029,MANU123,38.99,2017-11-14,2017-11-28,5,5,50.69,MATS,9223.74,USD,111AllPol23ER
700029,MANU123,54.99,2017-11-14,2017-11-28,1,1,71.49,MATS,9223.74,USD,111AllPol23ER
700029,MANU123,69.79,2017-11-14,2017-11-28,1,1,90.73,MATS,9223.74,USD,111AllPol23ER
700029,MANU123,38.24,2017-11-14,2017-11-28,25,25,49.71,MATS,9223.74,USD,111LowPVC25EV
700029,MANU123,20.84,2017-11-14,2017-11-28,10,10,27.09,MATS,9223.74,USD,111DeePol27ER
700029,MANU123,44.77,2017-11-14,2017-11-28,5,5,58.2,MATS,9223.74,USD,111DeePol27LR
700029,MANU123,17.87,2017-11-14,2017-11-28,5,5,23.23,MATS,9223.74,USD,114BlPVCLLBV
700029,MANU123,24.18,2017-11-14,2017-11-28,20,20,31.43,MATS,9223.74,USD,118DeePol27ER
